Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbSRF1	114	SRF	4.46230438	9.404870114	7.247427524	4.392190709	5.307767398	5.718145997	2.491509977	8.554436353	11.83208375	4.444471151	4.633431601	1.370910032	2.196668477	2.697034836	3.683224026	19.51423476	6.045843761	0.883713266
PjumbSRF2	115	SRF	3.829717957	9.001162625	6.980828665	4.881551522	5.467589934	5.490172822	2.303865107	7.508871464	11.71259346	3.920221667	4.319737065	1.367664295	2.074224991	2.673733601	4.153531046	18.86487633	6.185983386	0.969032191
PjumbSRF3	116	SRF	4.026798278	9.215588856	7.328083953	4.811497733	5.580800523	5.766817921	2.244764321	7.198855556	11.98987359	3.747254287	4.56235572	1.461573601	2.09251712	2.620997355	3.989437316	19.25429572	6.033227838	0.899241676
PjumbSRF4	117	SRF	3.824537878	8.596016624	6.782696207	4.903158855	5.48265523	5.00304806	2.344625325	6.760745921	11.28937747	4.259414255	4.233630496	1.464739913	1.996590825	2.833733211	4.157813915	18.81989367	5.968512249	0.670162574
PjumbSRF5	118	SRF	5.274363858	9.086694618	6.995661037	4.848476084	5.666250646	5.084502832	2.343045802	7.738220497	11.38092236	4.482230152	4.276220036	1.457435327	1.990696654	2.6668069	3.968717752	19.28866063	5.521831837	0.7077485
PjumbSRF6	119	SRF	3.620320359	8.752222083	6.85038356	4.789470205	5.213468076	5.577846268	2.331596451	8.06309794	11.62021887	3.948681056	4.373085487	1.653848785	2.174230423	2.489076943	4.200000156	19.18634629	5.70345399	0.756819478
PjumbSRF7	120	SRF	3.683848178	8.692508941	6.88661481	4.826458168	5.417475548	5.275024237	2.367626039	7.894626724	11.39613879	3.925579755	4.306368887	1.550436715	2.107016502	2.813288502	3.814180675	19.22445782	5.707282494	0.789880409
PjumbSRF8	121	SRF	4.703869137	9.076329312	7.074420904	4.726667646	5.609055153	5.583982541	2.453417377	8.353384865	11.5280037	4.367882441	4.418118781	1.687423188	2.126094855	2.752953246	3.712525777	19.19389173	6.202577334	0.695150036
PjumbSRF9	122	SRF	3.610621169	8.111829899	7.093106227	5.720150743	4.755264376	5.283256878	2.104284991	6.934949952	11.2799124	4.317754372	4.190168681	1.621080504	2.069023255	2.793552237	4.012327894	19.6341364	5.953925824	0.716118638
PjumbSRF10	123	SRF	4.710358917	9.132164685	7.267528997	4.604486876	6.135005967	5.758849138	2.248080867	7.612008156	11.70530743	4.347155473	4.389460124	1.368586098	2.162314722	2.813738451	3.880399483	19.49079926	6.057743877	0.825618929
PjumbSRF11	124	SRF	4.285268963	9.178528174	7.128140871	4.16005161	5.395688021	5.66874444	2.375272624	7.842865888	11.8785776	4.374456128	4.668120449	1.434424524	2.303636132	3.144625988	4.342799435	18.76926268	6.008538723	0.868246065
PjumbSRF12	125	SRF	4.423313545	9.360151618	7.192664061	4.645084893	5.870843435	5.665021516	2.29759566	7.041473659	11.4910822	3.919963226	4.604753886	1.430100043	2.097728812	2.936675293	4.242101766	19.08215257	6.097613402	0.933595976
PjumbSRF13	126	SRF	4.265698865	8.593789	7.115922429	4.687360241	5.392187818	5.637855774	2.246149681	8.269400053	11.20961668	3.829537368	4.166988073	1.533414754	1.963431017	2.113197669	3.856236396	19.105806	5.224026064	0.662664287
PjumbSRF14	127	SRF	4.299715195	9.390160116	7.388665561	4.586002464	5.524136301	5.17719414	2.359807492	7.593018263	11.75533292	4.06822115	4.594900014	1.310515825	2.077300774	2.53848467	4.02126241	19.2662843	6.070321053	0.921170636
PjumbSRF15	128	SRF	4.675639111	8.95801378	7.395060204	4.472757623	5.753774426	5.560379008	2.224322386	7.930665483	11.2281782	4.02427573	4.454791607	1.52315319	2.101463987	2.475550803	4.126124807	19.25288106	5.565919872	0.738237705
