ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
32	PsomaPBN	spilPB12	0.987909632	0.997869889	1.032725888	0.669915438	0.33456473	0.558663707	0.7687711	1.15260582	0.951456231	1.09044132	0.866937045	0.55524079	0.992294967	-1.550121696	0.86531233	0.95707547	0.989732888	0.55210105
33	PsomaPBN	spilPB13	0.623177462	1.37870291	1.208860625	0.622605709	0.689559005	0.897716798	1.0377446	1.37136285	1.306796041	0.89809447	1.299367279	1.54368884	1.115333893	-0.748913494	1.39303296	1.07803167	1.384838617	0.006418605
34	PsomaPBN	spilPB14	1.282159529	1.344991123	0.875526668	0.754102963	0.480882061	0.981969302	0.9243117	0.57687389	1.115434645	0.9811686	1.1431444	1.03792796	1.505978747	2.056814102	1.24387111	0.75534487	1.295939828	0.946537055
35	PsomaPBN	spilPB15	1.662020927	1.405892678	1.229517553	0.915248868	0.81498508	1.321508838	0.7739271	1.34069466	1.309351785	1.26778556	1.614906561	1.18492983	1.633951191	1.0541547	0.93316212	0.95617683	0.744845574	1.350167372
36	PsomaPBN	spilPB16	1.389604227	0.979978405	0.997264829	1.230220022	0.578426948	1.13189206	0.754592	1.18496216	0.582607484	0.8468169	0.88439335	0.66204975	0.909172678	1.003791899	-0.96999773	0.64643037	0.469445145	1.177774013
37	PsomaPBN	spilPB17	0.30800031	1.109757767	0.902311818	0.493030127	0.606543751	0.551561591	0.6106525	0.3306843	0.903992398	0.5700524	1.039732366	1.66463974	1.293538511	1.104917205	0.64318502	0.97563869	0.956970407	0.373271673
38	PsomaPBN	spilPB18	1.697443251	1.273381118	1.163071102	0.750076603	0.791187897	1.275782884	1.0362408	-0.47752094	0.950269635	1.81370131	1.51646626	1.82094553	1.148523008	0.587899092	0.11681061	0.88295096	0.741129233	0.35993992
39	PsomaPBN	spilPB19	1.224179254	1.255489634	1.011724678	1.359246555	0.544105599	0.661303882	1.1279754	0.33996917	1.15372518	1.32913951	1.012111631	1.31630113	0.960451356	0.361866047	1.14882755	0.88105099	0.81565165	0.484063138
40	PsomaPBN	spilPB20	1.261866433	1.407302844	1.031761898	0.842133832	1.333182475	1.475128589	0.9934886	0.11030945	0.975279424	1.13925577	1.208660784	1.33379249	1.284269479	1.439669946	1.49278832	1.19911624	0.170279693	0.329598688
41	PcesaPBM	cesar1	1.22982407	2.31184799	1.25324582	-0.32818731	0.0303079	0.03855311	-1.46270008	0.57750361	0.3138349	0.07714235	-0.42487819	0.8378329	0.095657256	0.01829419	-0.08569554	0.4328301	-0.17293871	0.79012603
